language,count,percentage
"Spanish",189,28.38
"English",103,15.47
"Chinese",54,8.11
"Vietnamese",36,5.41
"Turkish",35,5.26
"Russian",31,4.65
"Portuguese",24,3.6
"Ukrainian",23,3.45
"Greek",19,2.85
"Italian",17,2.55
"German",16,2.4
"Bengali",15,2.25
"French",10,1.5
"Indonesian",9,1.35
"Romanian",8,1.2
"Albanian",7,1.05
"Arabic",6,0.9
"Lithuanian",6,0.9
"Polish",6,0.9
"Serbian",6,0.9
"Croatian",5,0.75
"Nepali",5,0.75
"Bulgarian",3,0.45
"Malayalam",3,0.45
"Tamil",3,0.45
"Korean",3,0.45
"Galician",3,0.45
"Thai",3,0.45
"Hindi",2,0.3
"Latvian",2,0.3
"Macedonian",2,0.3
"Armenian",1,0.15
"Estonian",1,0.15
"Finnish",1,0.15
"Hungarian",1,0.15
"Telugu",1,0.15
"Kannada",1,0.15
"Hebrew",1,0.15
"Malay",1,0.15
"Slovenian",1,0.15
"Slovak",1,0.15
"Sinhalese",1,0.15
"Swedish",1,0.15
